company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
Old National Bancorp /In/,ONB,,1.2,2000,"To provide financial services that create value for our customers, employees, communities, and shareholders.",Evansville,Evansville,Jim Ryan,Jim Ryan (CEO); Brenda Stallings (CFO),Integrity; Innovation; Customer Focus,Digital Transformation; Customer Experience Enhancement,Implementing AI-driven customer service solutions,Data Analytics for Risk Management; Blockchain Implementation for Secure Transactions,Technology Integration; Risk Management; Customer Engagement,Stable economic conditions; Regulatory compliance,Market trends; Technological advancements,Scholarship Programs; Research Grants,0.0792,1.301,8.0,2.5,4,0.0,2023-10-26T08:30:15Z
Watts Water Technologies Inc,WTS,Innovative Water Solutions,1.2,5000,To provide innovative water solutions for a sustainable future.,North Andover,North Andover,Robert J. Pagano Jr.,Robert J. Pagano Jr. (CEO); Shashank Patel (CFO),Sustainability; Innovation; Quality,Research & Development; Market Analysis,Developing smart water management systems,Water Quality Monitoring; Efficient Water Distribution,Water Treatment; Water Conservation; Smart Infrastructure,Growing demand for water technology solutions,Regulatory approvals; Technological advancements,Water Engineering Scholarships; Research Grants for Water Sustainability,0.0792,1.1461,8.0,12.0,3,25.0,2023-10-26T08:30:45Z
Antero Midstream Corp,AM,Driving Energy Forward,1.2,500,To provide innovative midstream solutions for the energy industry.,Denver,Denver,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Efficiency,Research & Development; Market Analysis,Exploring new pipeline technologies,Natural Gas Processing; Pipeline Construction,Midstream Solutions; Energy Infrastructure,Stable energy market; Regulatory compliance,Oil & Gas Industry Trends; Economic Conditions,University of Colorado; Colorado School of Mines,0.0792,0.301,8.0,12.0,5,150.5,2023-10-26T08:30:15Z
Genpact Ltd,G,Transformation happens here,10.5,95000,"To drive digital-led innovation and digitally-enabled intelligent operations for our clients, guided by our experience running thousands of processes primarily for Global Fortune 500 companies.",,,,,,,,,,,,,1.0212,1.699,8.5,12.3,4,0.0,2023-10-26T08:30:15Z
Grupo Financiero Galicia Sa,GGAL,,9.2,11000,To provide innovative financial solutions to our customers while creating value for our shareholders.,Buenos Aires,Buenos Aires,Jorge Brito,Jorge Brito (CEO); Pablo Firvida (CFO),Innovation; Customer-centricity; Integrity,Digital Transformation; Fintech Partnerships,Exploring blockchain technology for secure transactions.,AI-driven Risk Management; Customer Segmentation Analysis,Retail Banking; Asset Management; Insurance Services,Stable economic conditions; Regulatory compliance,Market trends; Technological advancements,Scholarship programs; Research grants,0.9638,1.1461,0.08,0.025,4,0.0,2023-10-26T08:30:00Z
"Five Below, Inc",FIVE,Let Go & Have Fun!,1.3,10000,To provide high-quality products at an affordable price to teens and beyond.,Philadelphia,Philadelphia,Joel Anderson,Joel Anderson (CEO); Ken Bull (CFO),Innovation; Affordability; Customer Satisfaction,Market Expansion; Product Diversification,Exploring new market segments for growth potential.,Supply Chain Optimization; Customer Loyalty Program Enhancement,Retail Expansion; Customer Experience Enhancement,Stable economic conditions; Consistent consumer demand,Supplier relationships; Market trends,Scholarship Programs; STEM Education Initiatives,0.1139,1.1461,0.0458,0.012,4,0.0,2023-10-26T08:30:15Z
Tfi International Inc.,TFII,Delivering the Future,10.8,20000,To provide innovative transportation solutions with a focus on customer satisfaction.,Montreal,Montreal,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Customer Satisfaction; Efficiency,Technology Integration; Market Expansion,Exploring autonomous delivery solutions,Green Logistics Initiative; Supply Chain Optimization,Logistics; Transportation; Supply Chain Management,Stable economic conditions; Industry growth trends continue,Regulatory approvals; Technological advancements,Scholarship programs; Research grants,10.8,11.2,8.0,12.0,3,0.0,2023-10-26T08:30:00Z
Mytilineos Holdings S.A.,MYTIL,Empowering Growth,9.2,3200,To drive sustainable growth through innovation and excellence.,Marousi,Athens,Evangelos Mytilineos,Evangelos Mytilineos (CEO); Ioannis Kalafatis (CFO),Innovation; Excellence; Sustainability,Renewable Energy; Infrastructure Development,Exploring new opportunities in the green technology sector.,Solar Power Plant Expansion; Smart Grid Implementation,Energy; Construction; Metals,Stable economic conditions; Favorable regulatory environment,Government approvals; Market demand,Scholarship programs; Research grants,9.2,10.5,8.2,2.6,4,0.0,2023-10-26T08:30:00Z
Knight-Swift Transportation Holdings Inc.,KNX,Delivering Excellence,4.2,28000,To provide the best transportation solutions with a focus on safety and efficiency.,Phoenix,Phoenix,Dave Jackson,Dave Jackson (CEO); Jane Smith (CFO),Safety; Efficiency; Customer Satisfaction,Technology Integration; Operational Optimization,Implementing AI for route optimization,Green Initiatives; Driver Training Programs,Logistics; Supply Chain Management; Fleet Management,Stable fuel prices; Consistent demand for transportation services,Regulatory compliance; Economic conditions,Scholarship Programs; Research Grants,0.6232,1.1461,5.0,12.0,3,5.5,2022-10-31T08:00:00Z
Allison Transmission Holdings Inc,ALSN,Drive the Future,2.5,2700,"To be the global leader in commercial-duty propulsion solutions that make the world more productive, efficient, and sustainable.",Indianapolis,Indianapolis,David S. Graziosi,David S. Graziosi (President and CEO); G. Frederick Bohley (CFO),Innovation; Sustainability; Efficiency,Electric Vehicles; Autonomous Driving,Developing advanced transmission systems for electric and autonomous vehicles.,Next-generation Transmission Technology; Sustainable Mobility Solutions,Commercial Vehicles; Propulsion Solutions; Sustainability,Growing demand for electric vehicles; Increasing focus on sustainability in transportation,Technological advancements in battery technology; Regulatory support for sustainable transportation,STEM Education Programs; Research Grants in Engineering,9.3979,10.1761,8.0,12.0,3,0.0,2022-10-31T08:00:00Z
Lattice Semiconductor Corp,LSCC,The Smart Connectivity Company,400000000.0,1000,Empowering customers to quickly and easily innovate with our smart connectivity solutions.,Hillsboro,Hillsboro,Jim Anderson,Jim Anderson (President and CEO); Esam Elashmawi (Chief Marketing and Strategy Officer),Innovation; Customer-centricity; Quality,IoT Solutions; AI Applications,Developing cutting-edge semiconductor technologies for emerging markets.,5G Connectivity Solutions; Automotive Electronics,Smart Connectivity; Edge Computing; Wireless Solutions,Stable semiconductor market growth; Continued demand for IoT devices,Global supply chain logistics; Technological advancements,STEM Education Grants; Research Endowments,8.6021,9.0,12.0,5.0,3,10.5,2022-01-28T08:00:00Z
Mohawk Industries Inc,MHK,Flooring for a Better Tomorrow,9.2,42000,To create innovative flooring solutions that improve people's lives and inspire their surroundings.,Calhoun,Calhoun,Jeffrey S. Lorberbaum,Jeffrey S. Lorberbaum (Chairman and CEO); Brian Carson (President),Sustainability; Innovation; Quality,Research & Development; Market Analysis,Exploring new eco-friendly materials for flooring products.,Green Manufacturing Initiatives; Customer Experience Enhancement,Sustainability; Innovation; Customer Satisfaction,Stable market demand for flooring products; Continued focus on sustainability,Raw material suppliers; Economic conditions,Scholarship programs for STEM students; Funding for research in sustainable materials,0.9638,1.1761,4.5,12.3,2,0.0,2022-01-28T08:30:00Z
Armstrong World Industries Inc,AWI,Inspiring Great Spaces,1000000000,8000,"To create and deliver innovative and sustainable ceiling solutions that improve the spaces where we live, work, learn, heal, and play.",Lancaster,Lancaster,Vic Grizzle,Vic Grizzle (CEO); Brian MacNeal (CFO),Innovation; Sustainability; Quality,Research & Development; Product Design,Continuous improvement of ceiling solutions for various environments,Sustainable Materials Development; Energy Efficiency Enhancements,Sustainability; Innovation; Quality Control,Stable market demand for ceiling solutions; Availability of raw materials,Economic conditions; Regulatory environment,Scholarship Programs; Research Grants,9.0,9.5,0.08,0.12,3,0.0,2023-10-26T08:30:00Z
Sunoco Lp,SUN,Fueling the Future,10.5,10000,To provide reliable energy solutions for a sustainable future.,Dallas,Dallas,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Customer Focus,Renewable Energy; Smart Technology,Exploring new fuel delivery methods using IoT,Green Energy Initiatives; Efficiency Optimization,Energy Distribution; Environmental Impact; Customer Experience,Stable Oil Prices; Government Regulations,Technology Partnerships; Supply Chain Logistics,STEM Scholarships; Research Grants,10.5,11.2,5.3,12.6,3,120.5,2023-10-31T08:00:00Z
Universal Display Corp,UNIV,Innovating the Future of Display Technology,4000000000,1200,"To drive the adoption of OLED technology worldwide for a brighter, more vibrant future.",Ewing,Pennsylvania,Steven V. Abramson,Steven V. Abramson (CEO); Sidney D. Rosenblatt (CFO),Innovation; Sustainability; Customer Satisfaction,Research & Development; Product Prototyping,Exploring new applications of OLED technology in automotive displays.,Next-Gen Smartphone Displays; Flexible Display Solutions,OLED Technology; Display Manufacturing; Market Expansion,Growing demand for OLED displays in consumer electronics,Supply chain partnerships for raw materials,University of Pennsylvania; Carnegie Mellon University,9.6021,10.301,12.0,8.5,3,0.0,2023-10-26T08:30:00Z
Quantumscape Corp,QS,Leading the Charge to Transform Energy Storage,8.5,500,To revolutionize energy storage through cutting-edge technology and innovation.,San Jose,San Jose,Jagdeep Singh,Jagdeep Singh (CEO); Tim Holme (CFO),Innovation; Sustainability; Excellence,Battery Technology; Energy Storage Solutions,Developing next-generation solid-state battery technology.,Solid-State Battery Research; Energy Storage Optimization,Battery Innovation; Energy Efficiency; Sustainable Technology,Growing demand for electric vehicles; Increased focus on renewable energy sources,Research and Development funding; Regulatory approvals,STEM Education Programs; Research Grants,0.9294,1.6989,5.0,2.5,3,2.5,2023-10-26T08:30:45Z
Lumentum Holdings Inc.,LITE,Innovating the Future of Light,1200000000,5100,To empower the world with cutting-edge photonics solutions.,San Jose,San Jose,Alan S. Lowe,Alan S. Lowe (CEO); Walter J. Rosenberg (CFO),Innovation; Quality; Sustainability,Research & Development; Market Analysis,Exploring new applications of photonics technology,Next-Gen Optical Communication; Advanced Laser Solutions,Telecommunications; Data Centers; Consumer Electronics,Stable market demand; Continuous technological advancements,Supply chain efficiency; Regulatory compliance,STEM Scholarships; Research Grants,9.0792,10.1461,0.12,0.08,3,5.5,2023-10-26T08:30:15Z
"Exlservice Holdings, Inc.",EXLS,Driving Impact through Analytics,1000000000,30000,To empower businesses with data-driven insights for sustainable growth.,New York,New York,John Doe,John Doe (CEO); Jane Smith (CFO),Innovation; Excellence; Collaboration,Data Analytics; Machine Learning,Exploring AI-driven solutions for customer engagement.,Predictive Maintenance; Fraud Detection,Financial Services; Healthcare; Retail,Stable market conditions; Availability of skilled workforce,Technological advancements; Regulatory compliance,Scholarship programs; Research grants,9.0,9.5,0.08,0.05,3,10.5,2022-10-31T08:00:00Z
First Industrial Realty Trust Inc,FR,Building the Future of Industrial Real Estate,9.2,300,To provide high-quality industrial real estate solutions for businesses to thrive and grow.,Chicago,Chicago,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Customer Satisfaction,Market Research; Feasibility Studies; Concept Development,Exploring new technologies for warehouse automation,Green Building Initiatives; Supply Chain Optimization,Logistics; Sustainability; Technology Integration,Stable economic conditions; Growing e-commerce sector,Government Regulations; Market Trends,Local Community College; STEM Scholarships,0.9638,1.2041,0.0453,0.032,5,0.0,2023-10-26T08:30:45Z
Casella Waste Systems Inc,CWST,Reshaping the Future of Waste Management,700000000.0,2500,To provide sustainable waste management solutions that protect and improve the environment for future generations.,Rutland,Rutland,John W. Casella,John W. Casella (Chairman and CEO); Edmond Coletta (President and COO),Sustainability; Innovation; Community Engagement,Waste Reduction Technologies; Recycling Initiatives,Exploring AI-driven waste sorting solutions,Renewable Energy Generation; Waste-to-Energy Conversion,Sustainable Waste Management; Circular Economy Practices; Environmental Conservation,Increasing government regulations on waste disposal; Growing public awareness on environmental issues,Technological Advancements in Waste Management; Market Demand for Eco-Friendly Solutions,Donations to Environmental Science Research Programs; Scholarships for Sustainability Studies,8.8451,9.0,0.05,0.03,4,0.0,2023-10-26T08:30:15Z
Idacorp Inc,IDA,Powering a Brighter Future,1400000000,2100,To provide reliable and sustainable energy solutions for our communities,Boise,Boise,Lisa Grow,Lisa Grow (CEO); Steven Keen (CFO),Sustainability; Innovation; Community Engagement,Renewable Energy; Smart Grid Technology,Developing a community solar program,Energy Efficiency Programs; Grid Modernization Initiatives,Clean Energy; Customer Service Excellence,Stable regulatory environment; Increasing demand for renewable energy,Access to capital for infrastructure investments; Technological advancements in energy storage,Scholarship programs; Research grants,9.1461,10.5,0.08,0.025,4,0.0,2023-10-26T08:30:00Z
Fuchs Petrolub Se/Adr,FUPBY,Innovating for a Sustainable Future,2.5,5800,To provide high-quality lubricants and related specialties that meet customer needs while contributing to a sustainable future.,Mannheim,Mannheim,Stefan Fuchs,Stefan Fuchs (CEO); Dagmar Steinert (CFO),Innovation; Sustainability; Customer Satisfaction,Research & Development; Market Analysis,Exploring new eco-friendly lubricant solutions,Efficient Production Processes; Quality Control Enhancement,Sustainability; Innovation; Customer Satisfaction,Stable Market Demand; Competitive Pricing Strategy,Raw Material Suppliers; Regulatory Compliance,Scholarship Programs; Research Grants,0.3979,1.699,8.0,12.0,4,0.0,2023-10-26T08:30:15Z
Brookfield Renewable Corp,BEP,Renewable Energy for a Sustainable Future,9.2,3000,"To be a global leader in renewable power generation, providing sustainable energy solutions for a brighter future.",Toronto,Toronto,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Community Engagement,Solar Energy; Wind Power,Exploring new hydroelectric projects in South America,Hydroelectric Plant in Brazil; Wind Farm in Ireland,Renewable Energy Generation; Energy Storage Solutions,Stable government policies supporting renewable energy; Increasing global demand for clean energy,Access to capital for project financing; Technological advancements in renewable energy,Donations to Renewable Energy Research at University X; Scholarships for Sustainable Energy Studies,9.2,10.5,12.0,8.5,3,0.0,2023-10-26T08:30:00Z
"Aaon, Inc.",AAON,Creating a Healthy and Comfortable Environment,$500 million,2000,To provide high-quality and energy-efficient HVAC solutions for a healthier and more comfortable environment.,Tulsa,Tulsa,Gary Fields,Gary Fields (CEO); Norman Asbjornson (Founder),Innovation; Quality; Customer Satisfaction,Research & Development; Product Design,Exploring new HVAC technologies for improved energy efficiency,Smart HVAC Systems; Green Building Solutions,Energy Efficiency; Indoor Air Quality; Sustainability,Stable demand for HVAC products; Competitive market landscape,Availability of raw materials; Regulatory approvals,University of Tulsa; Oklahoma State University,8.699,9.4771,0.08,0.025,4,1123.67,2022-10-31T08:00:00Z
Taylor Morrison Home Corp,TMHC,Building a Better Tomorrow,3.8,2800,To create communities where people can thrive and find their dream homes.,Scottsdale,Scottsdale,Sheryl Palmer,Sheryl Palmer (CEO); Cressida Djambov (CFO),Sustainability; Innovation; Customer Satisfaction,Affordable Housing Solutions; Smart Home Technology Integration,Developing eco-friendly housing options for urban areas.,Green Building Certification; Community Outreach Programs,Sustainable Development; Customer Experience Enhancement,Stable housing market conditions; Continued economic growth,Government regulations; Material suppliers,Scholarship Programs; Research Grants,9.5798,9.2346,8.5,4.2,6,10.5,2022-01-20T08:30:00Z
"Clearway Energy, Inc.",CWEN,Powering a sustainable future,9.2,1000,"To provide clean, affordable, and reliable energy solutions for a sustainable future.",Houston,Houston,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Community Engagement,Renewable Energy; Energy Storage,Exploring new solar farm projects in the Midwest region.,Wind Farm in Texas; Solar Plant in California,Renewable Energy; Energy Storage; Grid Modernization,Stable government policies supporting clean energy; Increasing demand for renewable energy,Access to financing for new projects; Technological advancements in energy storage,Scholarship program at local universities; Research grants for clean energy initiatives,9.2,10.5,12.0,5.3,3,150.5,2023-10-31T08:00:00Z
Louisiana-Pacific Corp,LPX,Building Solutions for a Sustainable Future,3000000000,5000,To provide innovative building solutions that enhance people's lives while minimizing environmental impact.,Nashville,Nashville,Brad Southern,Brad Southern (CEO); Jason Ringblom (CFO),Sustainability; Innovation; Quality,Research & Development; Product Design,Exploring new eco-friendly materials for construction,Green Building Certification; Waste Reduction Initiatives,Sustainable Construction; Environmental Stewardship,Growing demand for sustainable building materials; Stable economic conditions,Regulatory approvals for new products; Availability of raw materials,Scholarship Programs; Research Grants,9.4771,10.1761,8.0,12.0,3,0.0,2022-01-28T08:00:00Z
"Essential Properties Realty Trust, Inc.",EPRT,Investing in Single-Tenant Properties,2000000000,50,To provide essential properties for long-term growth and stability.,Princeton,Princeton,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Customer Focus,Property Acquisition; Market Analysis,Exploring new markets for expansion,Property Development in Midwest; Retail Expansion in Southeast,Single-Tenant Properties; Long-Term Investment,Stable Real Estate Market; Consistent Rental Income,Economic Conditions; Interest Rates,Local Community College; State University,9.301,10.4771,12.0,5.0,3,10.5,2022-01-20T08:00:00Z
Gerdau S.A.,GGB,Empowering a sustainable future through steel,7.5,30000,To be a global reference in steel through sustainable practices and innovation,Porto Alegre,Porto Alegre,Gustavo Werneck,Gustavo Werneck (CEO); Harley Scardoelli (CFO),Sustainability; Innovation; Quality,Green Steel Production; Circular Economy Initiatives,Exploring new steel recycling technologies,Carbon Emissions Reduction; Supply Chain Optimization,Sustainability; Innovation; Operational Excellence,Stable steel demand in key markets; Favorable regulatory environment,Access to raw materials; Global economic conditions,Scholarship programs; Research grants,0.8751,1.1461,0.0453,0.032,5,621.371,2022-10-31T08:00:00Z
"Caretrust Reit, Inc.",CTRE,Building a Better Future for Healthcare,500000000.0,200,"To provide high-quality healthcare real estate solutions that enhance the lives of patients, residents, and caregivers.",San Clemente,San Clemente,Barry M. Portnoy,Barry M. Portnoy (Chairman and CEO); Greg Stapley (President and COO),Integrity; Innovation; Compassion,Acquiring healthcare properties; Developing strategic partnerships,Expanding into new healthcare markets,Senior housing facilities; Skilled nursing facilities,Healthcare real estate investment; Property management; Asset optimization,Stable healthcare industry growth; Favorable regulatory environment,Access to capital markets; Industry partnerships,Donations to healthcare education programs; Scholarship funds for healthcare students,8.699,9.0,0.15,0.025,4,65.0,2023-10-26T08:30:15Z
Element Solutions Inc,ESI,Innovating for a Sustainable Future,9.2,15000,To provide innovative solutions for a sustainable future.,Miami,Miami,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Quality,Research & Development; Product Innovation,Continuous improvement through innovation and sustainability.,Green Chemistry Initiative; Sustainable Packaging Solutions,Environmental Impact; Product Development; Sustainability Practices,Market demand for sustainable solutions will continue to grow,Access to raw materials; Regulatory compliance,Scholarship programs; Research grants,0.9638,1.2041,8.5,12.3,4,0.0,2023-10-26T08:30:45Z
"Construction Partners, Inc.",NASDAQ: ROAD,Building for the Future,9.2,2500,To deliver high-quality infrastructure projects that enhance communities and improve lives.,Dothan,Dothan,John L. Harper,John L. Harper (CEO); Ned N. Fleming (President),Quality; Innovation; Community Engagement,Sustainable Construction Practices; Technology Integration,Exploring new materials for eco-friendly construction,Road Expansion in Midwest; Bridge Reconstruction in Southeast,Infrastructure Development; Community Building; Sustainability,Stable economic conditions; Government infrastructure funding,Regulatory approvals; Supply chain logistics,Scholarship Programs; Research Grants,9.2,2.5,8.0,3.5,7,0.0,2022-01-20T08:00:00Z
Darling Ingredients Inc.,DAR,Sustainable Solutions for a Better Tomorrow,1.2,10000,To create sustainable solutions for a better tomorrow through innovative practices and responsible stewardship.,Irving,Irving,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Responsibility,Research & Development; Market Analysis,Exploring new sustainable product lines using cutting-edge technology,Waste Reduction Initiative; Renewable Energy Development,Sustainability; Innovation; Resource Efficiency,Stable market demand for sustainable products; Availability of raw materials,Government regulations on waste management; Technological advancements in recycling,Scholarship programs for environmental studies; Research grants for sustainable agriculture,0.0792,0.301,5.0,12.0,3,15.5,2023-10-26T08:30:45Z
Littelfuse Inc /De,LFUS,Innovative Circuit Protection Solutions,0.9,12000,"To provide innovative circuit protection solutions for a safer, more connected world.",Chicago,Chicago,David W. Heinzmann,David W. Heinzmann (President and CEO); Meenal Sethna (CFO),Innovation; Safety; Quality,Research & Development; Product Innovation,Continuous improvement in circuit protection technology,Next-gen Fuse Development; Smart Grid Solutions,Circuit Protection; Automotive Electronics; Industrial Controls,Stable market demand for circuit protection products; Continued technological advancements,Global supply chain; Regulatory compliance,STEM Education Grants; Research Scholarships,0.9542,1.4771,8.0,12.0,3,0.0,2023-10-26T08:30:45Z
Super Group (Sghc) Ltd,SGHC,Empowering Innovation,9.5,1500,To revolutionize industries through innovation and collaboration,San Francisco,San Francisco,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Collaboration; Excellence,AI; Blockchain; IoT,Exploring new technologies to disrupt traditional markets,Smart Cities Initiative; Healthcare Innovation Program,Technology; Innovation; Sustainability,Market demand for cutting-edge solutions; Availability of skilled workforce,Regulatory approvals; Funding,STEM Scholarships; Research Grants,9.5,10.2,12.0,8.5,3,0.0,2023-10-26T08:30:00Z
"Q2 Holdings, Inc.",QTWO,Empowering financial experiences,250000000.0,1200,To build stronger communities by strengthening the financial institutions that serve them.,Austin,Austin,Matt Flake,Matt Flake (CEO); Jennifer Harris (CFO),Innovation; Customer-centricity; Integrity,Digital banking solutions; Customer engagement platforms,Developing AI-driven financial management tools,Blockchain integration; Mobile payment solutions,Fintech; Digital banking; Customer experience,Increasing demand for digital banking services; Regulatory environment remains stable,Technological advancements; Market trends,Scholarship programs; STEM education initiatives,8.3979,9.0,12.0,5.0,3,0.0,2022-01-31T08:00:00Z
