company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
Magnolia Oil & Gas Corp,MAG,Empowering Energy Solutions,8.5,1200,To deliver sustainable energy solutions through innovation and excellence.,Houston,Houston,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Excellence,Research & Development; Market Analysis,Exploring new drilling technologies for increased efficiency.,Carbon Capture; Renewable Energy Integration,Sustainability; Innovation; Efficiency,Stable oil prices; Regulatory compliance,Technological advancements; Market demand,University of Texas; Texas A&M University,0.9294,1.1761,12.0,8.5,3,150.5,2023-10-17T08:30:00Z
Kilroy Realty Corp,KRC,Creating dynamic workspaces,9.2,500,To deliver exceptional work environments with a focus on sustainability and innovation,Los Angeles,Los Angeles,John Kilroy,John Kilroy (CEO); Sara Johnson (CFO),Sustainability; Innovation; Community Engagement,Green Building Initiatives; Smart Technology Integration,Developing eco-friendly office spaces with cutting-edge technology,LEED Certified Buildings; Energy Efficiency Upgrades,Sustainability; Innovation; Tenant Satisfaction,Growing demand for sustainable workspaces; Technological advancements in real estate,Government regulations on green building standards; Economic trends impacting commercial real estate,University of California Foundation; Stanford University Endowment,0.9638,1.1761,8.5,3.2,5,0.0,2023-10-26T08:30:45Z
"Arcosa, Inc.",ACA,Improving the world we live in,9.2,6900,To provide infrastructure-related products and solutions with a focus on sustainability and innovation,Dallas,Dallas,Antonio Carrillo,Antonio Carrillo (CEO); Sarah Johnson (CFO),Sustainability; Innovation; Quality,Research & Development; Market Analysis,Exploring new sustainable materials for construction,Green Building Solutions; Renewable Energy Initiatives,Infrastructure Products; Construction Materials; Energy Solutions,Stable economic conditions; Growing demand for sustainable products,Supply chain logistics; Regulatory approvals,STEM Scholarships; Infrastructure Research Grants,9.2,10.5,8.3,2.1,4,0.0,2022-10-31T12:00:00Z
National Beverage Corp,FIZZ,Enjoy the Taste of Success,8.2,1500,To provide refreshing and innovative beverage choices to consumers worldwide.,Fort Lauderdale,Fort Lauderdale,Nick Caporella,Nick Caporella (CEO); George Bracken (CFO),Innovation; Quality; Customer Satisfaction,Product Development; Market Research,Exploring new flavors and packaging designs for existing products.,Sustainability Initiatives; Supply Chain Optimization,Product Expansion; Brand Marketing,Stable consumer demand for beverages; Competitive pricing strategies,Raw material suppliers; Distribution partners,Scholarship programs; Research grants,0.9138,1.1461,0.08,0.025,4,0.0,2023-10-26T08:30:15Z
Kingsoft Cloud Holdings Ltd,KC,Empowering Your Business with Cloud Computing,9.2,8000,To provide reliable and secure cloud services to empower businesses globally.,Beijing,Beijing,Yulin Wang,Yulin Wang (CEO); Hongjiang Zhang (CFO),Innovation; Customer-Centricity; Reliability,Cloud Infrastructure; Big Data Solutions,Developing AI-driven cloud services for enhanced business efficiency.,Blockchain Integration; IoT Solutions Development,Cloud Computing; Artificial Intelligence; Data Security,Growing demand for cloud services; Technological advancements in AI,Market acceptance of new technologies; Regulatory compliance,Supporting STEM education programs; Funding research in cloud computing,9.2,10.5,0.12,0.08,4,0.0,2023-10-26T08:30:00Z
Golar Lng Ltd,GLNG,Leading the LNG Industry,8.2,1500,To provide innovative LNG solutions for a sustainable future,Hamilton,Hamilton,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Excellence,LNG technology research; Market expansion strategies,Developing new LNG transportation solutions,LNG terminal optimization; LNG carrier fleet modernization,LNG transportation; LNG infrastructure development; Sustainability initiatives,Stable LNG market demand; Favorable regulatory environment,Global LNG pricing trends; Energy policy changes,Scholarship programs; Research grants,0.9138,1.1461,12.0,8.0,3,678.9,2023-10-26T08:30:45Z
Gms Inc.,GMS,Building Success Together,9.2,5500,To be the leading distributor of construction products in North America,Tampa,Tampa,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Excellence; Innovation,Market Research; Product Development,Developing a new online platform for customer orders,Supply Chain Optimization; Customer Relationship Management,Customer Satisfaction; Operational Efficiency; Market Expansion,Stable economic conditions; Industry growth trends continue,Supplier relationships; Technological advancements,Local Technical College; National University Scholarship Fund,9.2,10.5,8.3,12.6,3,100.5,2023-10-31T08:00:00Z
Rh,RH,The Art of Home,2.5,5000,To create spaces that inspire and elevate the human spirit.,Corte Madera,Corte Madera,Gary Friedman,Gary Friedman (CEO); Jack Preston (CFO),Innovation; Quality; Customer Satisfaction,Product Development; Market Research,Exploring new sustainable materials for furniture production.,Sustainable Sourcing Initiative; Customer Experience Enhancement,Luxury Home Furnishings; Innovative Design Solutions,Stable Economic Conditions; Growing Demand for High-End Home Decor,Global Supply Chain; Retail Partnerships,Art Institutes; Design Schools,9.3979,9.699,8.0,5.2,3,10.5,2023-10-26T08:30:15Z
Howard Hughes Holdings Inc.,HHHI,Building the Future,9.2,15000,To create innovative and sustainable solutions for a better tomorrow.,Houston,Houston,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Excellence,Green Energy; Smart Cities,Developing cutting-edge technologies for urban development,Renewable Energy Solutions; Urban Planning Innovations,Sustainable Development; Urban Infrastructure,Growing demand for eco-friendly solutions; Government support for sustainable initiatives,Access to advanced technology; Skilled workforce availability,Scholarship Programs; Research Grants,9.2,10.5,12.0,8.5,3,150.5,2023-10-31T08:00:00Z
Black Hills Corp /Sd/,BKH,Powering a Brighter Future,1.2,2400,Providing sustainable energy solutions for a better tomorrow,Rapid City,Rapid City,Jane Smith,Jane Smith (CEO); John Doe (CFO),Sustainability; Innovation; Community Engagement,Renewable Energy; Smart Grid Technology,Exploring solar energy integration into existing infrastructure,Energy Efficiency Program; Community Solar Initiative,Renewable Energy; Grid Modernization; Customer Satisfaction,Stable regulatory environment; Increasing demand for clean energy,Government approvals for new projects; Technological advancements in energy sector,Scholarship programs; Research grants,0.0792,1.1461,5.0,8.0,3,123.45,2022-10-31T08:00:00Z
Texas Capital Bancshares Inc/Tx,TCBI,,9.2,1500,To provide innovative financial solutions with exceptional service and integrity.,Dallas,Dallas,John Doe,John Doe (CEO); Jane Smith (CFO),Integrity; Innovation; Customer Service,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven customer service solutions,Blockchain Integration; Risk Management Optimization,Financial Services; Technology Integration; Customer Experience,Stable economic conditions; Regulatory compliance,Market trends; Technological advancements,Scholarship programs; Research grants,0.9638,1.2041,0.0453,0.012,7,0.0,2023-10-26T08:30:45Z
Integer Holdings Corp,ITGR,Innovation in Medical Technologies,1.2,10000,To enhance the lives of patients worldwide through innovative medical technologies.,Frisco,Frisco,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Quality; Patient-Centric,Research & Development; Product Innovation,Continuous improvement in medical devices,Next-Gen Implantable Devices; Remote Monitoring Solutions,Cardiovascular Devices; Neuromodulation Technologies,Stable market demand; Competitive pricing strategy,Regulatory approvals; Supply chain management,Medical Research Grants; STEM Scholarships,0.0792,1.1461,0.05,0.03,7,20.5,2023-10-26T08:30:45Z
Nexgen Energy Ltd.,NEXG,Powering the Future,8.5,500,To provide sustainable energy solutions for a better tomorrow.,Vancouver,Vancouver,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Excellence,Renewable Energy; Clean Technologies,Exploring new solar energy solutions,Wind Farm Optimization; Smart Grid Implementation,Solar Energy; Energy Storage; Grid Modernization,Stable government policies; Increasing demand for clean energy,Technological advancements; Market trends,Scholarship programs; Research grants,0.9294,1.6989,12.0,8.5,3,250.5,2023-10-20T08:00:00Z
Zeta Global Holdings Corp.,Unknown,Empowering People-Based Marketing,9.5,1000,To revolutionize the way brands connect with consumers through innovative marketing solutions.,New York,New York,David A. Steinberg,David A. Steinberg (Co-Founder & CEO); John Sculley (Co-Founder & Chairman),Innovation; Customer-Centricity; Data-Driven Decision Making,Customer Acquisition; Data Analytics; Personalization,Developing a cutting-edge AI-powered marketing automation platform.,Customer Segmentation Model Enhancement; Real-Time Personalization Engine,Marketing Technology; Data Science; Customer Experience,Increasing demand for personalized marketing solutions; Continuous technological advancements in the marketing industry,Availability of skilled data scientists and engineers; Integration with third-party data sources,Donations to Data Science Research Programs; Scholarships for Marketing Technology Students,9.5,10.2,8.5,12.3,4,0.0,2023-10-26T08:30:45Z
Osi Systems Inc,OSIS,Shaping the Future of Technology,1.2,7000,To provide innovative solutions for a safer and more secure world.,Hawthorne,Hawthorne,Deepak Chopra,Deepak Chopra (CEO); Alan Edrick (CFO),Innovation; Security; Quality,Research & Development; Product Innovation,Exploring new technologies for enhanced security systems.,Advanced X-ray screening systems; Intelligent video analytics,Homeland Security; Aviation Security; Healthcare,Stable economic conditions; Continuous technological advancements,Government regulations; Global security threats,Scholarship programs; Research grants,0.0792,1.1461,0.0453,0.012,7,18.5,2023-10-26T08:30:45Z
Transalta Corp,TAC,Powering Possibilities,2.5,2400,"To provide clean, reliable, and affordable power solutions for a sustainable future.",Calgary,Calgary,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Customer Focus,Renewable Energy; Energy Storage,Exploring new solar energy projects in Western Canada.,Wind Farm Expansion; Smart Grid Implementation,Renewable Energy; Energy Efficiency; Grid Modernization,Stable government regulations; Increasing demand for clean energy,Access to capital markets; Technological advancements,Scholarship programs; Research grants,9.3979,10.1761,8.0,12.0,3,0.0,2023-10-26T08:30:00Z
Tecnoglass Inc.,TGLS,Innovative Glass Solutions,9.2,4500,To provide cutting-edge glass solutions for a sustainable future.,Barranquilla,Barranquilla,Jose M. Daes,Jose M. Daes (CEO); Christian T. Daes (COO),Innovation; Sustainability; Quality,Research & Development; Market Analysis,Exploring new glass technologies for energy efficiency,Solar Glass Panels; Smart Glass Solutions,Green Building; Renewable Energy Integration,Stable economic conditions; Growing demand for sustainable solutions,Access to raw materials; Technological advancements,Scholarship programs; Research grants,0.9638,1.2041,8.0,12.0,3,0.0,2022-10-31T15:25:00Z
Dnp Select Income Fund Inc,DSI,,8.5,50,To provide stable income through diversified investment strategies.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Transparency; Excellence,Market Research; Product Development,Innovative investment strategies,Income Fund Expansion; Risk Management Enhancement,Income Generation; Risk Management; Diversification,Stable market conditions; Effective team collaboration,Market performance; Regulatory environment,Scholarship Programs; Research Grants,0.9294,1.0414,12.0,5.0,3,2.5,2023-10-26T08:30:15Z
Hamamatsu Photonics K.K./Adr,HPHTY,Innovating Light Technologies,9.2,5000,To advance photonics technology for a brighter future.,Hamamatsu,Hamamatsu,Takayuki Yokoyama,Takayuki Yokoyama (CEO); Yoshihisa Uchida (CFO),Innovation; Quality; Sustainability,Research & Development; Product Innovation,Exploring new applications of photonics technology in healthcare.,Photonics in Aerospace; Biomedical Imaging Solutions,Photonics Technology; Optical Sensors; Imaging Systems,Stable market demand for photonics products; Continued technological advancements,Global supply chain for components; Regulatory approvals for new products,Scholarship programs for STEM students; Research grants for photonics studies,0.9638,1.1761,8.5,12.3,4,0.0,2023-10-26T08:30:45Z
Envista Holdings Corp,NVST,Advancing the world of dentistry,1000000000,12000,To improve the lives of patients and their caregivers through innovative dental solutions,Brea,Brea,Amir Aghdaei,Amir Aghdaei (CEO); Howard Yu (CFO),Innovation; Quality; Customer-Centricity,Research & Development; Market Analysis,Exploring new dental technologies for improved patient care,Digital Imaging Solutions; Dental Practice Management Software,Dental Equipment; Dental Consumables; Orthodontics,Stable demand for dental products; Competitive pricing strategies,Regulatory approvals; Market trends,Dental Schools; Research Institutions,9.0,10.5,12.5,8.2,3,25.0,2022-01-20T08:00:00Z
Iridium Communications Inc.,IRDM,"Connecting People, Everywhere",500000000.0,500,"To provide reliable, global communications through our satellite network.",Mclean,Mclean,Matt Desch,Matt Desch (CEO); Thomas Fitzpatrick (CFO),Innovation; Reliability; Global Connectivity,Satellite Technology; Global Communication Solutions,Exploring new satellite technologies for enhanced global coverage.,Satellite Constellation Expansion; Global Network Optimization,Satellite Communications; Global Connectivity Solutions,Stable demand for global communication services; Continued technological advancements in satellite technology,Regulatory approvals for satellite operations; Market demand for global communication services,STEM Education Programs; Research Grants in Satellite Technology,8.699,9.0,12.0,5.0,3,10.5,2023-10-26T08:00:00Z
Grupo Aval Acciones Y Valores S.A.,GAAV,Leading financial group in Colombia,9.2,80000,To provide comprehensive financial services with excellence and integrity,Bogota,Bogota,Luis Carlos Sarmiento Gutierrez,Luis Carlos Sarmiento Angulo (Chairman); Luis Carlos Sarmiento Gutierrez (CEO),Integrity; Excellence; Innovation,Fintech; Digital Transformation,Exploring blockchain technology for secure transactions,AI-driven risk assessment; Mobile banking app development,Banking; Insurance; Investment,Stable economic conditions; Regulatory compliance,Technological infrastructure; Market trends,Scholarships for finance students; Research grants for economic studies,0.9638,1.2041,8.5,12.3,2,0.0,2022-01-28T08:00:00Z
Independent Bank Corp,IBCP,Your Local Community Bank,1000000000,1500,To provide personalized banking services that enhance the financial well-being of our customers and communities.,Grand Rapids,Grand Rapids,John Smith,John Smith (CEO); Emily Johnson (CFO),Customer-Centric Approach; Community Involvement,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven customer service solutions,Mobile Banking App Upgrade; Data Analytics Platform Implementation,Retail Banking; Small Business Lending; Community Outreach,Stable Economic Conditions; Regulatory Compliance,Technology Infrastructure; Market Trends,Local University Scholarship Fund; Financial Literacy Programs,9.0,8.5,0.08,0.015,5,0.0,2023-10-26T08:30:00Z
"Laureate Education, Inc.",LAUR,Here for Good,9.0,60000,"To make higher education more accessible, affordable, and successful for students worldwide.",Baltimore,Baltimore,Eilif Serck-Hanssen,Eilif Serck-Hanssen (CEO); Ricardo Berckemeyer (CFO),Innovation; Diversity; Global Impact,Online Learning; Student Success Programs,Empowering students through technology-driven solutions.,Global Citizenship Education; Digital Skills Training,Online Education; Global Expansion; Student Support Services,Increasing demand for online education; Growing interest in skill-based learning,Technological advancements; Regulatory approvals,Scholarship Programs; Infrastructure Development,9.0,10.2,0.08,0.015,4,0.0,2023-10-26T08:30:00Z
Impinj Inc,PI,Connecting the physical world to the digital world,1000000000,500,Empowering digital transformation through RAIN RFID technology,Seattle,Seattle,Chris Diorio,Chris Diorio (Co-Founder and CEO); Jeff Dossett (President),Innovation; Customer-centricity; Sustainability,Product development; Market research,Exploring new applications of RAIN RFID technology,Supply chain optimization; Inventory management,IoT; Retail; Healthcare,Growing demand for IoT solutions; Competitive pricing strategy,Technological advancements; Regulatory compliance,University of Washington; Seattle University,9.0,9.5,0.15,0.05,3,0.0,2022-01-28T08:00:00Z
"Highwoods Properties, Inc.",HIW,Creating Value Through Real Estate,800000000.0,400,"To provide high-quality, sustainable real estate solutions for our tenants, shareholders, and communities.",Raleigh,Raleigh,Ted Klinck,Ted Klinck (CEO); Brendan Maiorana (CFO),Sustainability; Innovation; Community Engagement,Market Research; Feasibility Studies,Developing sustainable mixed-use properties in urban areas,LEED Certified Office Buildings; Mixed-Use Developments,Sustainability; Tenant Satisfaction; Financial Performance,Stable Real Estate Market; Growing Demand for Office Spaces,Economic Conditions; Government Regulations,Local Universities; Scholarship Programs,8.9031,9.5,12.5,3.2,5,0.0,2023-10-26T08:30:00Z
Shanghai Fudan Microelectronics Co Limited/Adr,FUDAN,,9.2,5000,To provide innovative microelectronics solutions for a connected world.,Shanghai,Shanghai,John Smith,John Smith (CEO); Alice Johnson (CFO),Innovation; Quality; Customer Satisfaction,Research & Development; Product Prototyping,Continuous improvement through cutting-edge technology,Next-generation semiconductor manufacturing; IoT integration solutions,Semiconductor Technology; Internet of Things (IoT); Artificial Intelligence (AI),Stable global semiconductor market; Continued demand for IoT solutions,Supply chain for raw materials; Regulatory compliance,Fudan University; Shanghai Jiao Tong University,0.9638,1.5,0.08,0.025,7,0.0,2023-10-26T08:30:00Z
