Company Name,Stock Symbol,Tagline,Annual Revenue in Log,Market Valuation in Log,Profit Margins,Market Share,Industry Ranking,Distance,Known Point of Contact,City,Created At,annual_revenue,employee_count,mission_statement,headquarters_location,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving
Palermo’s Pizza,,Authentic Italian Taste,7.7,,0.15,0.05,3,0.0,John Doe,Milwaukee,2022-10-20T08:00:00Z,50000000.0,1000,Bringing families together through delicious pizza creations.,123 Main Street,John Doe (CEO); Jane Smith (CFO),Quality; Innovation; Customer Satisfaction,Product Development; Market Expansion,Exploring new pizza flavors and packaging designs.,Sustainability Initiatives; Employee Wellness Programs,Quality Control; Customer Service; Market Research,Growing demand for frozen pizzas; Competitive pricing strategies,Supply chain logistics; Marketing partnerships,Local culinary schools; Food science research programs
Johnsonville Sausage,,The Big Taste of Johnsonville,9.0,,0.15,,3,,John Johnson,Sheboygan Falls,2022-01-15T08:00:00Z,1000000000.0,5000,To bring families together around the dinner table with delicious sausage products.,123 Sausage Lane,John Johnson (CEO); Jane Smith (CFO),Quality; Family; Innovation,Product Development; Market Research,Developing new sausage flavors,Sausage Packaging Redesign; Sustainability Initiatives,Product Quality; Customer Satisfaction; Innovation,Stable market demand for sausage products; Competitive pricing strategy,Supply chain logistics; Regulatory compliance,Local culinary schools; Food science research programs
Klement’s Sausage Company,,Crafting the finest sausages since 1956,7.7,,0.15,,3,0.0,John Smith,Milwaukee,2022-01-15T08:00:00Z,50000000.0,300,To provide high-quality sausages to customers worldwide,123 Main Street,John Smith (CEO); Jane Doe (CFO),Quality; Innovation; Customer Satisfaction,Product Development; Market Research,Exploring new sausage flavors,Sustainability Initiatives; Employee Training Programs,Quality Control; Customer Service; Market Expansion,Stable market demand for sausages; Competitive pricing strategy,Supplier relationships; Regulatory compliance,Local culinary schools; Food science research programs
Miller Brewing Company,MBC,"Great Beer, Great Responsibility",9.69897,,0.15,0.2,3,,John Smith,Milwaukee,2022-10-20T08:00:00Z,5000000000.0,10000,To brew the highest quality beers that bring people together,123 Main Street,John Smith (CEO); Jane Doe (CFO),Quality; Innovation; Community,Sustainability; Product Development,Exploring new beer flavors,Water Conservation; Employee Wellness,Quality Control; Market Expansion,Stable market demand; Competitive pricing,Raw material suppliers; Distribution partners,Local brewing programs; Sustainability research grants
Marquette University,,Be The Difference,8.9031,,,,,,Dr. Michael R. Lovell,Milwaukee,2022-01-25T08:00:00Z,800000000.0,2000,"Marquette University is a Catholic, Jesuit university dedicated to serving God by serving our students and contributing to the advancement of knowledge.",1250 W. Wisconsin Ave.,Dr. Michael R. Lovell (President); Dr. Kimo Ah Yun (Provost),Excellence; Service; Leadership,Research; Innovation; Education,Encouraged,Health Sciences; Engineering; Business,STEM Education; Social Justice; Community Engagement,Strong Alumni Support; Stable Enrollment,Funding; Partnerships,Scholarships; Research Grants
UWM,UWM,Empowering Dreams,9.69897,,0.15,0.1,3,0.5,John Smith,Detroit,2022-01-15T08:00:00Z,5000000000.0,10000,To revolutionize the mortgage industry through innovation and exceptional service.,123 Main Street,John Smith (CEO); Jane Doe (CFO),Integrity; Innovation; Customer Satisfaction,Technology; Customer Experience,Developing a new mobile app for mortgage applications,AI-powered underwriting system; Blockchain-based document verification,Digital Transformation; Operational Efficiency,Increasing demand for online mortgage services; Stable interest rates,Regulatory approvals; Market conditions,Scholarship programs; Research grants
Milwaukee County Transit System,,Moving Milwaukee Forward,8.0,,0.1,,3,,John Doe,Milwaukee,2022-01-15T08:00:00Z,100000000.0,1500,"Providing safe, reliable, and efficient public transportation services for the community.",1234 Main Street,John Doe (CEO); Jane Smith (CFO),Sustainability; Community Engagement; Innovation,Improving Route Efficiency; Enhancing Customer Experience,Exploring new technologies for fleet management,Green Initiatives; Customer Satisfaction Improvements,Operational Efficiency; Customer Service Excellence; Sustainability Practices,Increasing ridership in the next fiscal year; Continued government funding support,Fuel Prices; Economic Conditions,Local Technical College Scholarships; Transportation Research Grants
City of Milwaukee,,Milwaukee: A Great Place on a Great Lake,9.30103,,0.15,,3,,John Smith,Milwaukee,2022-01-15T08:00:00Z,2000000000.0,10000,To provide efficient and effective city services to enhance the quality of life for all residents and visitors.,"200 E Wells St, Milwaukee, WI 53202",John Smith (City Administrator); Jane Doe (Chief Financial Officer),Community engagement; Sustainability; Innovation,Smart city initiatives; Public transportation improvements,Exploring new ways to improve city infrastructure and services,Green infrastructure development; Public safety enhancements,Urban development; Public health; Education,Stable economic growth in the region; Supportive local government policies,Funding approvals from city council; Collaboration with local businesses and organizations,Donations to local universities for research and scholarships
Milwaukee Public Schools,,,9.0,,,,,,John Doe,Milwaukee,2022-01-01T00:00:00Z,1000000000.0,10000,To provide an equitable and excellent education for all students,123 Main Street,John Doe (CEO); Jane Smith (CFO),Education; Equity; Excellence,Student success; Community engagement,To improve graduation rates,STEM education program; Literacy initiative,Student achievement; Equity in education,Increased funding for education; Community support,Government funding; Parent involvement,Scholarship programs; Research grants
Children’s Wisconsin,,,9.0,,0.15,0.05,3,,John Doe,Milwaukee,2022-01-01T00:00:00Z,1000000000.0,5000,To provide the best care for children and families,123 Main Street,John Doe (CEO); Jane Smith (CFO),Compassion; Excellence; Innovation,Pediatric care; Research,Exploring new treatment methods for childhood diseases,Childhood cancer research; Pediatric cardiology,Pediatric healthcare; Medical research,Stable funding; Strong community support,Government regulations; Medical advancements,University of Wisconsin; Marquette University
Ascension Wisconsin,,Inspired by faith. Driven by excellence.,9.69897,,0.15,0.08,3,0.0,John Smith,Milwaukee,2022-01-15T08:00:00Z,5000000000.0,15000,"We are dedicated to providing compassionate, personalized care to all individuals in our communities.",123 Main Street,John Smith (CEO); Jane Doe (CFO),Compassion; Excellence; Community,Preventive Care; Patient Experience,Innovative healthcare solutions,Telemedicine; Chronic Disease Management,Patient-Centered Care; Health Equity,Increasing demand for healthcare services; Growing aging population,Government regulations; Health insurance policies,Medical research grants; Nursing scholarships
Milwaukee Brewers,MB,Brewing excellence since 1970,8.7,,0.15,,3,,John Smith,Milwaukee,2022-10-15T09:30:00Z,500000000.0,1000,To provide the best quality beer to our customers and create memorable experiences.,123 Main Street,John Smith (CEO); Emily Johnson (CFO),Quality; Innovation; Customer Satisfaction,Product Development; Market Research,Exploring new beer flavors and packaging designs,Sustainability Initiatives; Employee Wellness Programs,Quality Control; Customer Service; Marketing Strategies,Growing demand for craft beer; Stable economy,Supply chain partners; Regulatory approvals,Local university scholarships; STEM education programs
Milwaukee Bucks,BUCKS,Fear the Deer,8.477121,,0.15,,3,0.0,John Doe,Milwaukee,2022-01-01T00:00:00Z,300000000.0,200,To win championships and positively impact the community.,123 Main Street,John Doe (CEO); Jane Smith (CFO),Excellence; Community Engagement; Innovation,Player Development; Fan Experience,Exploring new arena technologies,Youth Basketball Program; Sustainability Initiatives,Sports Performance; Community Outreach,Strong fan base; Competitive team,NBA regulations; Sponsorship deals,Scholarship programs; Athletic facility upgrades
Generac Power Systems,GNRC,Powering Your Life,9.39794,,0.15,,3,,John Smith,Wisconsin,2022-01-15T08:00:00Z,2500000000.0,7000,To provide reliable power solutions for homes and businesses.,Waukesha,John Smith (CEO); Jane Doe (CFO),Innovation; Reliability; Customer Satisfaction,Research & Development; Market Analysis,Exploring new renewable energy solutions,Solar Power Integration; Energy Storage Solutions,Residential Power Solutions; Commercial Power Solutions,Growing demand for backup power systems; Increasing focus on renewable energy,Supply chain management; Regulatory approvals,Scholarship programs; Research grants
HellermannTyton,,,8.69897,,,,,,John Doe,Tornesch,2022-01-01T00:00:00Z,500000000.0,10000,To provide innovative solutions for cable management and identification,Germany,John Doe (CEO); Jane Smith (CFO),Innovation; Quality; Customer satisfaction,Research and development; Market analysis,Continuous improvement of cable management products,Automated cable labeling system; RFID cable tracking system,Product quality; Customer service; Market expansion,Stable market demand; Competitive pricing strategy,Raw material suppliers; Distribution partners,Scholarship programs; Research grants
Brady Corporation,BRC,"Identify and protect people, products and places",9.041393,,0.12,0.05,3,,Michael Nauman,Wisconsin,2022-01-15T08:00:00Z,1100000000.0,6500,"To provide our customers with innovative solutions that increase safety, security, productivity and performance",Milwaukee,Michael Nauman (President and CEO); Aaron Pearce (CFO),Innovation; Quality; Customer Satisfaction,Research; Product Development,Continuous improvement and innovation,Supply Chain Optimization; Product Lifecycle Management,Safety Solutions; Identification Solutions; Compliance Solutions,Stable market demand; Competitive pricing,Global economic conditions; Regulatory environment,STEM scholarships; Research grants
Astronautics Corporation of America,,Exploring the future beyond Earth,8.69897,,0.15,0.05,3,,John Smith,Wisconsin,2022-10-15T08:00:00Z,500000000.0,1000,To pioneer innovative solutions for space exploration and technology advancement,Milwaukee,John Smith (CEO); Emily Johnson (CFO),Innovation; Exploration; Excellence,Space technology; Research and development,Continuous innovation and exploration,Mars Rover Project; Satellite Communication System,Space exploration; Aerospace technology; Satellite systems,Rapid technological advancements; Growing interest in space exploration,Government funding; Research partnerships,STEM scholarships; Research grants
Penrod Software,,Empowering businesses through innovative software solutions,7.7,,0.15,0.05,3,0.0,John Smith,San Francisco,2022-01-15T08:00:00Z,50000000.0,200,To revolutionize the way businesses operate through cutting-edge software technology,123 Main Street,John Smith (CEO); Jane Doe (CTO),Innovation; Quality; Customer Satisfaction,Research; Development; Testing,Brainstorming new software solutions,CRM Integration; E-commerce Platform Development,Cloud Computing; AI; Blockchain,Market demand for software solutions will continue to grow,Access to top talent in the tech industry,Donations to local universities for tech programs
Zywave,ZYW,Empowering insurance professionals,7.7,8.2,0.15,0.05,3,,John Smith,,2022-01-15T08:00:00Z,50000000.0,1000,To revolutionize the insurance industry through innovative technology solutions,{'city': 'Milwaukee'},John Smith (CEO); Jane Doe (CTO),Innovation; Customer-centricity; Integrity,Product development; Market research,Exploring new AI-driven solutions for insurance agencies,Data analytics platform; Customer relationship management system,Technology; Customer experience; Market expansion,Increasing demand for digital insurance solutions; Competitive pricing strategies,Technology infrastructure; Regulatory compliance,Scholarship programs; Research grants
Wantable,,,7.69897,,,,,,,Milwaukee,2022-01-01T00:00:00Z,50000000.0,200,To provide personalized lifestyle products to customers.,123 Main Street,John Doe (CEO); Jane Smith (COO),Customer satisfaction; Innovation; Quality,Product development; Market research,,Personalized styling; Subscription box service,E-commerce; Personalization; Customer experience,Growing market demand; Competitive pricing strategy,Supply chain management; Technology infrastructure,Scholarship programs; Research grants
SafeNet Consulting,,Empowering businesses through innovative solutions,7.7,,0.15,,3,,John Doe,Seattle,2022-10-15T08:00:00Z,50000000.0,200,To provide top-notch consulting services to help businesses thrive,123 Main Street,John Doe (CEO); Jane Smith (COO),Innovation; Quality; Customer Satisfaction,Market Research; Product Development,Brainstorming new project ideas,Data Analytics; Cloud Migration,Technology; Consulting; Digital Transformation,Stable market conditions; Strong client relationships,Technological advancements; Economic trends,Scholarship programs; Research grants
Milwaukee Software Co.,,Empowering businesses through innovative software solutions,6.69897,,0.15,,3,,John Doe,Milwaukee,2022-01-15T08:00:00Z,5000000.0,100,To revolutionize the software industry by delivering cutting-edge solutions that drive business growth,123 Main Street,John Doe (CEO); Jane Smith (CTO),Innovation; Quality; Customer Satisfaction,Market Research; Product Development,Brainstorming new software ideas,Enterprise Resource Planning; Customer Relationship Management,Artificial Intelligence; Blockchain; Internet of Things,Increasing demand for software solutions; Competitive market landscape,Technology infrastructure; Skilled workforce,Local universities; STEM programs
Red Arrow Labs,,,6.69897,,,,,,,San Francisco,2022-01-01T00:00:00Z,5000000.0,100,To revolutionize the tech industry with innovative solutions.,123 Main Street,John Doe (CEO); Jane Smith (CTO),innovation; quality; customer satisfaction,research; development; testing,,AI integration; blockchain development; IoT solutions,technology; innovation; customer satisfaction,market demand; competitor analysis; customer feedback,technology partners; funding sources; regulatory compliance,scholarship programs; research grants; educational sponsorships
Advicent,,,7.7,,,,,,John Doe,Milwaukee,2022-01-01T00:00:00Z,50000000.0,200,To empower financial services firms to deliver holistic financial planning services to their clients.,123 Main Street,John Doe (CEO); Jane Smith (CFO),Innovation; Customer-centricity; Integrity,Product development; Market research,To create a new financial planning software,Digital transformation; Data analytics,Financial technology; Wealth management,Increasing demand for financial planning services; Stable economic conditions,Technology infrastructure; Regulatory compliance,Scholarship programs; Research grants
Time of Grace Ministry,,Empowering lives through faith,6.69897,,0.15,0.05,3,0.0,John Doe,Chicago,2022-01-15T08:00:00Z,5000000.0,50,To spread the message of grace and hope to all individuals,123 Main Street,John Doe (CEO); Jane Smith (COO),Compassion; Empowerment; Hope,Community outreach; Youth programs,Exploring new ways to reach a wider audience,Mentorship program; Counseling services,Faith-based education; Crisis intervention,Stable funding from donors; Growing interest in faith-based initiatives,Volunteer availability; Government regulations,Scholarship funds; Research grants
